meeting date,track,race number,start time,distance,age restrictions,class restrictions,weight restrictions,race prizemoney,sex restrictions,weight type,race name,jockeys can claim,horse name,horse age,horse sex,horse sire,horse dam,horse number,horse jockey,horse barrier,horse trainer,horse weight,horse claim,horse last10,horse record,horse record distance,horse record track,horse record track distance,horse record firm,horse record good,horse record soft,horse record heavy,horse record jumps,horse record first up,horse record second up,horse prize money,form barrier,form class,form distance,form jockey,form margin,form meeting date,form name,form other runners,form position,form price,form time,form track,form track condition,form weight,horse record synthetic,meeting id, race id, horse id, horse trainer id, horse jockey id, form trainer id, form jockey id,prizemoney
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Wil John,5,Gelding,Reset,Arohanui,3,John Allen,8,C Maher & D Eustace,61.5,0,17360x21x321,12:3-2-2,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,6:3-1-0,5:0-1-1,1:0-0-1,0:0-0-0,4:0-1-1,3:2-1-0,$68 325,3,Bench. 58,2050,J Allen,4.5,13/07/20,Chs Group Horsham (Bm58),1-Caliburn,2,6,02:09.29,Murtoa,Soft 7,62,0:0-0-0,172869,844608,893789,27269,14854,27269,14854,$20000
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Wil John,5,Gelding,Reset,Arohanui,3,John Allen,8,C Maher & D Eustace,61.5,0,17360x21x321,12:3-2-2,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,6:3-1-0,5:0-1-1,1:0-0-1,0:0-0-0,4:0-1-1,3:2-1-0,$68 325,9,Bench. 58,1600,M Cartwright,3.3,22/06/20,Hygain (Bm58),1-Buchan Hoaks,3,6.5,01:42.65,Swan Hill,Heavy 8,60,0:0-0-0,172640,843107,893789,27269,14854,27269,16453,$20000
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Wil John,5,Gelding,Reset,Arohanui,3,John Allen,8,C Maher & D Eustace,61.5,0,17360x21x321,12:3-2-2,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,6:3-1-0,5:0-1-1,1:0-0-1,0:0-0-0,4:0-1-1,3:2-1-0,$68 325,9,Bench. 58,2200,Ms L J Meech,0.4,22/10/19,Bet365 (Bm58),2-Sudden Moment,1,3.4,02:20.90,Hamilton,Good 4,60,0:0-0-0,168989,822152,893789,27269,14854,27269,12035,$22000
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Wil John,5,Gelding,Reset,Arohanui,3,John Allen,8,C Maher & D Eustace,61.5,0,17360x21x321,12:3-2-2,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,6:3-1-0,5:0-1-1,1:0-0-1,0:0-0-0,4:0-1-1,3:2-1-0,$68 325,11,Bench. 58,1600,J Allen,1.5,01/10/19,Pooles Accountants (Bm58),1-Onehundred Percent,2,4.8,01:37.28,Swan Hill,Good 3,60,0:0-0-0,168338,819737,893789,27269,14854,27269,14854,$22000
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Wil John,5,Gelding,Reset,Arohanui,3,John Allen,8,C Maher & D Eustace,61.5,0,17360x21x321,12:3-2-2,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,6:3-1-0,5:0-1-1,1:0-0-1,0:0-0-0,4:0-1-1,3:2-1-0,$68 325,11,Bench. 64,2000,H Coffey,15.1,02/05/19,Ludeman Real Estate (Bm64),1-Akamon,13,51,02:09.39,Warrnambool,Soft 6,58,0:0-0-0,166140,806917,893789,27269,14854,27269,14965,$35000
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Wil John,5,Gelding,Reset,Arohanui,3,John Allen,8,C Maher & D Eustace,61.5,0,17360x21x321,12:3-2-2,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,6:3-1-0,5:0-1-1,1:0-0-1,0:0-0-0,4:0-1-1,3:2-1-0,$68 325,6,Bench. 58,2046,H Coffey,2.6,18/04/19,Bet365 Price Guarantee (Bm58),1-Miss France,6,7.5,02:07.26,Benalla,Good 3,61,0:0-0-0,165864,805592,893789,27269,14854,27269,14965,$22000
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Wil John,5,Gelding,Reset,Arohanui,3,John Allen,8,C Maher & D Eustace,61.5,0,17360x21x321,12:3-2-2,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,6:3-1-0,5:0-1-1,1:0-0-1,0:0-0-0,4:0-1-1,3:2-1-0,$68 325,5,Bench. 64,2000,Ms L J Meech,3.1,29/03/19,Fresh Master Painting (Bm64),1-Lucabelle,3,9,02:08.93,Warrnambool,Soft 5,58,0:0-0-0,165560,803744,893789,27269,14854,27269,12035,$22000
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Wil John,5,Gelding,Reset,Arohanui,3,John Allen,8,C Maher & D Eustace,61.5,0,17360x21x321,12:3-2-2,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,6:3-1-0,5:0-1-1,1:0-0-1,0:0-0-0,4:0-1-1,3:2-1-0,$68 325,1,Bench. 64,2000,Ms L J Meech,4.3,14/03/19,Scotts Catering (Bm64),1-Tough Vic,7,6,02:05.75,Warrnambool,Good 4,58.5,0:0-0-0,165288,802263,893789,27269,14854,27269,12035,$22000
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Wil John,5,Gelding,Reset,Arohanui,3,John Allen,8,C Maher & D Eustace,61.5,0,17360x21x321,12:3-2-2,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,6:3-1-0,5:0-1-1,1:0-0-1,0:0-0-0,4:0-1-1,3:2-1-0,$68 325,9,Maiden,1700,Ms L J Meech,1.3,21/02/19,Pearsons Nursery Mdn Plate,2-Aurum Dromos,1,2.9,01:45.85,Warrnambool,Good 4,58,0:0-0-0,164935,800323,893789,27269,14854,27269,12035,$23000
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Benall,9,Gelding,Blackfriars,Miss Megari,4,Ms A Bryan,10,G A Cousins,59,2,090213x0009,50:6-6-4,0: 0-0-0,4: 2-0-0,0: 0-0-0,0:0-0-0,36:4-5-4,9:1-0-0,4:1-1-0,0:0-0-0,8:0-0-0,7:0-0-0,$235 438,3,Bench. 70,2080,C Hefel,7.2,16/08/20,Mercedes-Benz Mornington-Bm70,1-Akamon,9,41,02:14.90,Cranbourne,Heavy 8,57.5,1:0-0-0,173253,847095,805294,1705,15689,1705,16369,$35000
